1,201,3
1,202,4
1,203,4
1,204,3
1,205,3
1,206,5
1,207,4
1,208,3
1,209,4
2,201,3
2,202,5
2,203,3
2,204,4
2,205,3
2,206,3
2,207,4
2,208,3
2,209,4
3,201,4
3,202,5
3,203,4
3,204,4
3,205,3
3,206,4
3,207,4
3,208,4
3,209,5
4,201,2
4,202,3
4,203,4
4,204,2
4,205,5
4,206,5
4,207,3
4,208,2
4,209,2
1,201,2
1,202,2
1,203,2
1,204,5
1,205,4
1,206,3
1,207,3
1,208,5
1,209,5
2,201,5
2,202,2
2,203,5
2,204,3
2,205,5
2,206,2
2,207,5
2,208,3
2,209,4
3,201,3
3,202,3
3,203,4
3,204,2
3,205,4
3,206,5
3,207,4
3,208,2
3,209,4
4,201,3
4,202,4
4,203,5
4,204,2
4,205,2
4,206,4
4,207,2
4,208,3
4,209,5
